ddate,crime_group,count,domestic_count,arrest_count,domestic_rate,arrest_rate,avg_dist,avg_max_dist,avg_cm_area,avg_total_area,avg_cm_len,total_cm_len,avg_pct_housing,avg_pct_below_pvty,avg_pct_unemployed,avg_pct_without_hsd,avg_pct_dependents,avg_per_capita_income,avg_hardship_index
2023-09-09,ASLT,302,102,52,0.33774834437086093,0.17218543046357615,2.2581001202656377,26.328158350453,90.05351594538799,763.671787118957,44.81965025505042,386.8235561942629,0.05541721854304635,0.2496523178807947,0.16582450331125825,0.21303973509933774,0.3483112582781457,25286.98675496689,54.56953642384106
2023-09-09,THFT,256,8,11,0.03125,0.04296875,2.1465170847331216,26.258387262510553,87.3064733476609,727.443227032173,45.10998338578882,378.2137875093367,0.04077343749999999,0.21054296875,0.13694140624999998,0.15916015625,0.31052734375,35943.55078125,38.91015625
2023-09-10,ASLT,320,121,55,0.378125,0.171875,2.2079796188386256,27.004706009252732,94.33746637947614,786.1686954357212,46.26364399045961,394.8451026013347,0.05592499999999999,0.24089062499999997,0.16541875,0.21545,0.34945624999999997,25347.45625,54.396875
2023-09-10,THFT,245,11,6,0.044897959183673466,0.024489795918367346,2.203431358910654,26.80077591559412,87.60479325029777,744.8266295476118,44.99224922940311,385.0073790831261,0.0470204081632653,0.21552244897959183,0.1365142857142857,0.17393877551020406,0.3133265306122449,33627.448979591834,41.477551020408164
2023-09-11,ASLT,241,78,42,0.3236514522821577,0.17427385892116182,2.333465003511832,26.916177961712314,89.942775582957,763.0146678919419,45.06722043950878,388.6332980677759,0.05103319502074687,0.2461161825726141,0.1700871369294606,0.20184232365145227,0.34924481327800827,25626.55601659751,53.20746887966805
2023-09-11,THFT,231,6,14,0.025974025974025976,0.06060606060606061,2.2977667999261677,25.99282438167716,83.61860518373298,750.3876882302787,44.00813208578128,397.1023500869831,0.04600432900432899,0.21757575757575756,0.143004329004329,0.17386580086580086,0.3172597402597403,32385.91774891775,42.0
2023-09-12,ASLT,219,62,48,0.2831050228310502,0.2191780821917808,2.3601989189062893,26.846090795086216,93.07094165544878,775.4923572744452,46.13227776448663,394.1620023989096,0.048041095890410945,0.24207762557077625,0.16982648401826483,0.19658447488584474,0.3505890410958904,26417.461187214612,52.70776255707762
2023-09-12,THFT,201,6,17,0.029850746268656716,0.0845771144278607,2.3738413443451627,26.790608884239884,88.88754472867976,773.8488579947453,45.55692799697399,401.0961262730453,0.04745771144278606,0.21461194029850747,0.14478109452736318,0.17787064676616912,0.32478109452736315,30532.84577114428,43.67164179104478
2023-09-13,ASLT,268,81,47,0.30223880597014924,0.17537313432835822,2.306379899347601,26.9243176624445,93.91517891955407,782.4883133359698,46.17270333304189,394.6664908123246,0.05722014925373133,0.2528320895522388,0.17195149253731343,0.2190783582089552,0.3599141791044776,23375.152985074626,56.832089552238806
2023-09-13,THFT,263,10,19,0.03802281368821293,0.07224334600760456,2.186995034108515,27.775698734600233,85.60012078804385,763.2097559026244,44.81919682442594,401.02557411742055,0.04460456273764257,0.21652851711026613,0.14306844106463876,0.17396197718631176,0.326041825095057,30776.67680608365,43.26996197718631
